VARIABLES = TIME,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
  0.10000D-01 -0.99800D-01  0.49690D-01  0.49690D-01 -0.75894D-18 -0.57463D-17  0.46079D-17 -0.12585D+01 -0.15092D-13 -0.15002D-13 -0.31946D-17 -0.24188D-16  0.19396D-16
  0.20000D-01 -0.99600D-01  0.49590D-01  0.49590D-01  0.32609D-17 -0.49784D-18  0.31023D-19 -0.12582D+01 -0.12460D-10 -0.12460D-10  0.13751D-16 -0.20994D-17  0.13082D-18
  0.32500D-01 -0.99350D-01  0.49465D-01  0.49465D-01  0.38697D-17 -0.20445D-17 -0.17486D-17 -0.12579D+01 -0.47882D-08 -0.47882D-08  0.16355D-16 -0.86411D-17 -0.73904D-17
  0.48125D-01 -0.99038D-01  0.49309D-01  0.49309D-01  0.54210D-18  0.32568D-18  0.10885D-17 -0.12575D+01 -0.75253D-08 -0.75253D-08  0.22977D-17  0.13804D-17  0.46138D-17
  0.67656D-01 -0.98647D-01  0.49114D-01  0.49114D-01  0.14412D-17  0.24979D-17 -0.10101D-18 -0.12570D+01 -0.11845D-07 -0.11845D-07  0.61304D-17  0.10625D-16 -0.42965D-18
  0.92070D-01 -0.98159D-01  0.48870D-01  0.48870D-01  0.57357D-17 -0.84237D-18  0.68419D-18 -0.12564D+01 -0.18678D-07 -0.18678D-07  0.24507D-16 -0.35992D-17  0.29233D-17
  0.12259D+00 -0.97548D-01  0.48565D-01  0.48565D-01 -0.12396D-17  0.33284D-17  0.44058D-17 -0.12556D+01 -0.29523D-07 -0.29523D-07 -0.53264D-17  0.14301D-16  0.18931D-16
  0.16073D+00 -0.96785D-01  0.48184D-01  0.48184D-01 -0.28740D-17 -0.15628D-17  0.38375D-17 -0.12546D+01 -0.46804D-07 -0.46804D-07 -0.12436D-16 -0.67625D-17  0.16606D-16
  0.20842D+00 -0.95832D-01  0.47707D-01  0.47707D-01 -0.11011D-17  0.21261D-17  0.29108D-17 -0.12534D+01 -0.74483D-07 -0.74483D-07 -0.48077D-17  0.92825D-17  0.12709D-16
  0.26802D+00 -0.94640D-01  0.47111D-01  0.47111D-01  0.31069D-17  0.26521D-17  0.29189D-17 -0.12518D+01 -0.11910D-06 -0.11910D-06  0.13719D-16  0.11710D-16  0.12889D-16
  0.34253D+00 -0.93149D-01  0.46366D-01  0.46366D-01 -0.67847D-17  0.49433D-17  0.95063D-17 -0.12498D+01 -0.19164D-06 -0.19164D-06 -0.30390D-16  0.22142D-16  0.42580D-16
  0.43566D+00 -0.91287D-01  0.45436D-01  0.45436D-01  0.37625D-17  0.69169D-17  0.19016D-17 -0.12473D+01 -0.31082D-06 -0.31082D-06  0.17163D-16  0.31551D-16  0.86741D-17
  0.55208D+00 -0.88958D-01  0.44272D-01  0.44272D-01  0.63951D-17 -0.56328D-17 -0.97299D-17 -0.12441D+01 -0.50937D-06 -0.50937D-06  0.29858D-16 -0.26299D-16 -0.45428D-16
  0.69760D+00 -0.86048D-01  0.42817D-01  0.42817D-01  0.20600D-17  0.14037D-16  0.81146D-17 -0.12400D+01 -0.84625D-06 -0.84625D-06  0.99106D-17  0.67533D-16  0.39039D-16
  0.87949D+00 -0.82410D-01  0.40999D-01  0.40999D-01  0.56243D-18 -0.25377D-17 -0.17500D-17 -0.12346D+01  0.51417D-14  0.51348D-14  0.28133D-17 -0.12694D-16 -0.87534D-17
  0.11069D+01 -0.77863D-01  0.38727D-01  0.38727D-01 -0.53871D-18 -0.81315D-19 -0.50144D-18 -0.12276D+01 -0.26854D-14 -0.26645D-14 -0.28361D-17 -0.42809D-18 -0.26399D-17
  0.13911D+01 -0.72178D-01  0.35886D-01  0.35886D-01  0.91480D-18  0.27783D-18  0.75555D-18 -0.12183D+01  0.28588D-14  0.28449D-14  0.51567D-17  0.15661D-17  0.42590D-17
  0.17464D+01 -0.65073D-01  0.32335D-01  0.32335D-01  0.69796D-18  0.12875D-18  0.48450D-18 -0.12057D+01 -0.21996D-14 -0.21649D-14  0.43197D-17  0.79683D-18  0.29986D-17
  0.21904D+01 -0.56191D-01  0.27898D-01  0.27898D-01 -0.75894D-18  0.16941D-18 -0.35914D-18 -0.11881D+01 -0.11033D-14 -0.11241D-14 -0.53617D-17  0.11968D-17 -0.25373D-17
  0.26904D+01 -0.46191D-01  0.22901D-01  0.22901D-01 -0.10978D-17 -0.52177D-18 -0.35237D-18 -0.11650D+01  0.12074D-14  0.11866D-14 -0.92550D-17 -0.43990D-17 -0.29708D-17
  0.31904D+01 -0.36191D-01  0.17906D-01  0.17906D-01  0.30493D-18  0.20329D-18 -0.37947D-18 -0.11369D+01 -0.41216D-11 -0.41216D-11  0.32041D-17  0.21361D-17 -0.39873D-17
  0.36904D+01 -0.26191D-01  0.12912D-01  0.12912D-01 -0.24395D-18  0.74539D-18  0.84026D-18 -0.11006D+01 -0.19921D-10 -0.19921D-10 -0.34329D-17  0.10489D-16  0.11824D-16
  0.41904D+01 -0.16191D-01  0.79208D-02  0.79208D-02  0.33881D-18 -0.18296D-18  0.47095D-18 -0.10486D+01 -0.18382D-09 -0.18382D-09  0.73674D-17 -0.39784D-17  0.10241D-16
  0.46904D+01 -0.61911D-02  0.29478D-02  0.29478D-02 -0.27105D-18  0.12197D-18 -0.50822D-19 -0.88642D+00 -0.31456D-06 -0.31456D-06 -0.13145D-16  0.59153D-17 -0.24647D-17
  0.51904D+01  0.38089D-02 -0.17834D-02 -0.17834D-02 -0.50144D-18 -0.20329D-19 -0.10842D-18  0.72665D+00  0.30437D-11  0.30437D-11 -0.32578D-16 -0.13207D-17 -0.70439D-17
  0.56904D+01  0.13809D-01 -0.67325D-02 -0.67325D-02  0.42013D-18  0.42013D-18  0.44046D-18  0.10319D+01 -0.10270D-14 -0.10200D-14  0.10553D-16  0.10553D-16  0.11064D-16
  0.61904D+01  0.23809D-01 -0.11723D-01 -0.11723D-01 -0.65730D-18  0.94868D-18  0.67424D-18  0.10901D+01  0.22010D-07  0.22010D-07 -0.10083D-16  0.14552D-16  0.10342D-16
  0.66904D+01  0.33809D-01 -0.16716D-01 -0.16716D-01 -0.45401D-18 -0.54888D-18  0.43029D-18  0.11291D+01  0.67010D-10  0.67010D-10 -0.50730D-17 -0.61331D-17  0.48080D-17
  0.71904D+01  0.43809D-01 -0.21711D-01 -0.21711D-01 -0.13281D-17 -0.36592D-18 -0.51500D-18  0.11589D+01  0.97903D-11  0.97904D-11 -0.11745D-16 -0.32360D-17 -0.45544D-17
  0.76904D+01  0.53809D-01 -0.26707D-01 -0.26707D-01  0.18025D-17 -0.35237D-18  0.75217D-18  0.11830D+01  0.23833D-11  0.23833D-11  0.13242D-16 -0.25886D-17  0.55256D-17
  0.81904D+01  0.63809D-01 -0.31704D-01 -0.31704D-01  0.10097D-17 -0.54210D-18  0.13891D-18  0.12034D+01  0.77381D-12  0.77384D-12  0.63604D-17 -0.34150D-17  0.87508D-18
  0.86904D+01  0.73809D-01 -0.36701D-01 -0.36701D-01 -0.12875D-18  0.48789D-18  0.88430D-18  0.12210D+01  0.29804D-12  0.29801D-12 -0.71129D-18  0.26954D-17  0.48854D-17
  0.91904D+01  0.83809D-01 -0.41698D-01 -0.41698D-01  0.16263D-18  0.18906D-17  0.54888D-18  0.12367D+01  0.14488D-12  0.14489D-12  0.80124D-18  0.93144D-17  0.27042D-17
  0.96904D+01  0.93809D-01 -0.46696D-01 -0.46696D-01  0.37269D-18  0.19583D-17  0.30595D-17  0.12507D+01  0.68993D-13  0.69014D-13  0.16588D-17  0.87162D-17  0.13617D-16
  0.10000D+02  0.10000D+00 -0.49790D-01 -0.49790D-01 -0.34491D-17  0.31848D-18  0.28121D-18  0.12587D+01 -0.56899D-15 -0.61062D-15 -0.14492D-16  0.13382D-17  0.11816D-17
